"panelista","encuesta","nombreapp","paquete","version","fuente","categoria","malware","sistema","lanzador","fecha 2020-01","dias 2020-01","uso 2020-01","fecha 2020-02","dias 2020-02","uso 2020-02","fecha 2020-03","dias 2020-03","uso 2020-03","fecha 2020-04","dias 2020-04","uso 2020-04","fecha 2020-05","dias 2020-05","uso 2020-05","fecha 2020-06","dias 2020-06","uso 2020-06"
"8274","WQYQRPPC","sonia","air.com.buffalo_studios.newflashbingo","","","","","","","0","0","N/D","2020-02-28 17:54","27","0","","4","0","0","0","N/D","","0","","0","0","N/D"
"8274","WQYQRPPC","sonia","com.playtika.caesarscasino","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","1485717","","0","","0","0","N/D"
"8279","JBOVPFUU","sonia","com.coldfiregames.idle.casino.tycoon","","","","","","","0","0","N/D","2020-02-29 22:59","28","3512791","","30","3512791","0","0","N/D","","0","","0","0","N/D"
"8299","SPDDPQLO","sonia","com.mola.playspace.android.bingo","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","5/28/2020 18:17","27","4334240","0","0","N/D"
"8314","UBHXAPBE","sonia","com.playtech.poker.ipoker.qt2","","","","","","","0","0","N/D","2020-02-24 14:56","23","348233","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"8314","UBHXAPBE","sonia","air.com.pipastudios.release.praiabingo","","","","","","","0","0","N/D","2020-02-24 14:56","23","775219","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"8314","UBHXAPBE","sonia","com.huuuge.casino.texas","","","","","","","0","0","N/D","2020-02-24 14:56","23","3641967","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"8352","SFFRUQNF","sonia","com.mola.playspace.android.bingo","","","","","","","0","0","N/D","2020-02-26 02:24","25","42703","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"8380","THPGCIDI","""Bingo en Casa""","es.cabmagazine.bingoencasa","""3.3.1""","com.android.vending","Casual","","",""," ","26","135873","0","0","N/D","0","0","N/D","0","0","N/D","","0","","","29","5382"
"8387","JNOITWWP","sonia","com.absolute.bingo","","","","","","","0","0","N/D","2020-02-24 21:01","23","83549","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
